ChangeID,ChangeDate,NewName,NewPosition,NewDepartment,NewManager,NewUserEmail,NewManagerEmail,OriginalName,OriginalPosition,OriginalDepartment,OriginalManager,OriginalUserEmail
99399,07/05/2026,Mr Zandon Quirrix,Casual                                  ,"Operations, East Midlands",Mr Xandor Quirn,User Email Unknown,xandor.quirn@windows.com,,,,,
99400,07/05/2026,Mr Velto Xarion Plosk,Seasonal Operative                      ,"Operations, Yorkshire & NE",Mr Velrix Hamber,velto.plosk@windows.com,velrix.hamber@windows.com,,,,,
99401,07/05/2026,Mr Rydan Falquor,Licensing Ranger                        ,"Operations, Boating & CS",Mr Rethan Turlis,rydan.falquor@windows.com,rethan.turlis@windows.com,,,,,
99402,07/05/2026,Mr Jexo Grindlew,Seasonal Operative                      ,"Operations, Yorkshire & NE",Mr Paelon Huxley,jexo.grindlew@windows.com,paelon.huxley@windows.com,,,,,
99403,07/05/2026,Mr Tharen Mavik-Tulsen,Volunteering Leader                     ,"Operations, London & SE",Mr Garven Rasker,tharen.mavik-tulsen@windows.com,garven.rasker@windows.com,,,,,
99404,07/05/2026,Mr Pexo Warlin,Volunteering Leader                     ,"Operations, East Midlands",Mr Adrik Benthall,pexo.warlin@windows.com,adrik.benthall@windows.com,,,,,
99405,07/05/2026,Ms Alyxa Pentrix,Seasonal Lock Keeper                    ,"Operations, North West",Mr Polrex Reynald,alyxa.pentrix@windows.com,polrex.reynald@windows.com,,,,,
99406,07/05/2026,Mr Filon Jexor,Leaver,"Operations, West Midlands",Leaver,filon.jexor@windows.com,Leaver,Mr Filon Jexor,Operative                               ,"Operations, West Midlands",Mrs Lynexa Corvell,filon.jexor@windows.com
99407,07/05/2026,Mr Jorvan Stellix,Health and Safety Business Partner      ,"Health & Safety, Health & Safety",Mrs Drelly Fentonix,jorvan.stellix@windows.com,drelly.fentonix@windows.com,Mr Jorvan Stellix,Reactive Response Team Manager          ,"Operations, North West",Mrs Lynexa Corvell,jorvan.stellix@windows.com
99408,07/05/2026,Mrs Philixa Bronzelle,Senior Ecologist                        ,"Operations, North West",Mrs Lynexa Corvell,philixa.bronzelle@windows.com,lynexa.corvell@windows.com,Mrs Philixa Bronzelle,Ecologist                               ,"Operations, North West",Mrs Lynexa Corvell,philixa.bronzelle@windows.com
99409,07/05/2026,Mrs Samixa Larkwyn,Senior Heritage & Environment Specialist,"Operations, Yorkshire & NE",Mr Starek Moodrix,samixa.larkwyn@windows.com,starek.moodrix@windows.com,Mrs Samixa Larkwyn,Ecologist                               ,"Operations, Yorkshire & NE",Mrs Lynexa Corvell,samixa.larkwyn@windows.com
99410,07/05/2026,Mr Darel Orrix,Site Supervisor                         ,"Operations, North West",Mrs Drelly Fentonix,darel.orrix@windows.com,drelly.fentonix@windows.com,Mr Darel Orrix,Site Supervisor                         ,"Operations, North West",Mrs Lynexa Corvell,darel.orrix@windows.com
99411,07/05/2026,Mr Stravo Phelquin,Operative                               ,"Operations, North West",Mrs Drelly Fentonix,stravo.phelquin@windows.com,drelly.fentonix@windows.com,Mr Stravo Phelquin,Volunteering Leader                     ,"Operations, North West",Mrs Lynexa Corvell,stravo.phelquin@windows.com
99412,07/05/2026,Mr Peto Harvex,Craft Operative                         ,"Operations, North West",Mrs Drelly Fentonix,peto.harvex@windows.com,drelly.fentonix@windows.com,Mr Peto Harvex,Craft Operative                         ,"Operations, North West",Mr Paelon Huxley,peto.harvex@windows.com
99413,07/05/2026,Mr Ryxel Levantor,Craft Operative                         ,"Operations, North West",Mrs Drelly Fentonix,ryxel.levantor@windows.com,drelly.fentonix@windows.com,Mr Ryxel Levantor,Craft Operative                         ,"Operations, North West",Mr Paelon Huxley,ryxel.levantor@windows.com
99414,07/05/2026,Mr Granto Levantor,Site Supervisor                         ,"Operations, North West",Mrs Drelly Fentonix,granto.levantor@windows.com,drelly.fentonix@windows.com,Mr Granto Peto,Lock Gate Technician                    ,"Operations, North West",Mr Xandor Quirn,granto.peto@windows.com
99415,07/05/2026,Mrs Elzira Clavenn,Lock Gate Technician                    ,"Infrastructure & Programmes, Direct Services",Mr Paelon Huxley,elzira.clavenn@windows.com,paelon.huxley@windows.com,Mrs Elzira Clavenn,Volunteering Leader                     ,"Infrastructure & Programmes, Direct Services",Mr Velrix Hamber,elzira.clavenn@windows.com
99416,07/05/2026,Mr Lexo Stravix,Operative                               ,"Operations, North West",Mr Velrix Hamber,lexo.stravix@windows.com,velrix.hamber@windows.com,Mr Lexo Stravix,Operative                               ,"Operations, North West",Mr Rethan Turlis,lexo.stravix@windows.com
99417,07/05/2026,Mr Marvo Belexen,Operative                               ,"Operations, North West",Mr Velrix Hamber,marvo.belexen@windows.com,velrix.hamber@windows.com,Mr Marvo Belexen,Lock Gate Technician                    ,"Operations, North West",Mr Paelon Huxley,marvo.belexen@windows.com
99418,07/05/2026,Mr Scaro Jentrix,Craft Operative                         ,"Operations, North West",Mr Velrix Hamber,scaro.jentrix@windows.com,velrix.hamber@windows.com,Mr Scaro Filon,Craft Operative                         ,"Operations, North West",Mr Garven Rasker,scaro.filon@windows.com
